participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 152,online,No (skip to question 11),,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1520,online,No (skip to question 11),,0 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1521,online,Yes – Please list the activities __________________,A few times per week,,,0 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1522,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 1523,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1524,online,Yes – Please list the activities __________________,A few times per week,,,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1525,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1526,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1527,online,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1528,online,No (skip to question 11),,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,
Participant 1529,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 153,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 153,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1530,online,Yes – Please list the activities __________________,Once per week,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1531,online,Yes – Please list the activities __________________,Daily,3 days,No,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1532,online,,,,,,,,
Participant 1533,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 1534,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Yellow – Moderate,Yellow – Moderate,Smoke-related health problem statistics
Participant 1535,online,Yes – Please list the activities __________________,Once per week,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1536,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1537,online,Yes – Please list the activities __________________,Daily,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1538,online,,,,,,,,
Participant 1539,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 154,in_person,No (skip to question 11),,3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 154,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1540,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1541,online,No (skip to question 11),,3 days,,,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1542,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1543,online,Yes – Please list the activities __________________,Daily,1 days,No,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1544,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1545,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1546,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1547,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1548,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1549,online,No (skip to question 11),,2 days,,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 155,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 155,online,Yes – Please list the activities __________________,Daily,,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,
Participant 1550,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,
Participant 1551,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1552,online,,,,,,,,
Participant 1553,online,Yes – Please list the activities __________________,Daily,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1554,online,No (skip to question 11),,4-5 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1555,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1556,online,,,,,,,,
Participant 1557,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1558,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1559,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Yellow – Moderate,Red – Unhealthy,Air quality information
Participant 156,in_person,Yes – Please list the activities __________________,Once per week,3 days,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 156,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1560,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,1 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1561,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1562,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
