participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 550,No,~3 per week,"51-100:
Moderate",I am not familiar with this rating
Participant 551,Yes,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 551,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 552,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 552,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 553,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 553,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 554,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 554,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 555,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 555,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 556,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 557,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 557,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 558,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 559,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 56,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 56,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 560,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 561,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 562,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 562,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 563,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 563,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 564,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 564,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 565,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 565,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 566,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 566,Yes,~1-3 per summer,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 567,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 567,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 568,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 569,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 569,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 57,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 570,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 570,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 571,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 571,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 572,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 573,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 573,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 574,No,~3 per week,I am not familiar with this rating,"51-100:
Moderate"
Participant 574,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 575,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 575,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 576,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 577,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 577,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 578,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 578,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 579,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 579,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 58,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 58,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 581,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 582,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 582,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 583,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 583,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 584,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 584,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 585,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 585,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 586,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 586,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 587,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 588,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 588,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 589,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 59,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 59,No,~1-3 per summer,I am not familiar with this rating,I am not familiar with this rating
Participant 590,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 591,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 591,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 592,Yes,~1 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 592,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 593,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 593,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 594,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 595,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 595,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 596,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 597,No,~1-3 per month,"51-100:
Moderate","51-100:
Moderate"
Participant 597,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 598,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 598,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 599,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 599,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 6,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 6,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 60,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 60,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 600,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 600,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 601,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 601,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 602,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 603,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 603,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 604,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 604,No,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 605,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 606,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 606,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 607,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 607,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 608,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 609,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 609,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 61,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 61,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 610,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 610,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 611,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 611,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 612,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 612,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 613,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 613,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 614,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 615,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 616,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 617,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 618,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 619,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 62,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 620,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 621,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 622,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 624,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 626,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 627,Yes,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 628,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 629,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 63,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 63,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 630,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 631,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 632,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 633,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 634,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 635,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 636,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 637,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 638,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 639,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 64,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 640,No,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 643,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 644,Yes,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 645,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 646,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 647,No,~1 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 648,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 649,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 65,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 65,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 650,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 651,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 653,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 654,No,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 655,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 656,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 657,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 658,Yes,~1-3 per summer,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 659,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 66,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 66,No,~1-3 per month,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 660,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 661,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 662,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 663,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 664,No,~1-3 per month,"301+:
Hazardous","301+:
Hazardous"
Participant 665,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 666,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 667,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 668,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 669,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 67,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 67,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 670,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 671,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 672,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 673,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 675,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 676,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 677,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 678,No,~1-3 per month,"151-200:
Unhealthy","301+:
Hazardous"
Participant 679,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 68,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 68,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 680,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 681,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 682,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 683,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 684,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 685,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 686,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 687,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 689,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 69,Yes,Daily,"51-100:
Moderate","51-100:
Moderate"
Participant 69,No,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 690,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 692,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 693,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 694,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 695,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 696,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 697,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 698,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 699,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 7,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 7,Yes,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 70,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 70,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 700,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 703,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 704,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 705,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 706,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 707,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 708,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 709,No,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 71,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 71,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 710,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 711,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 712,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 713,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 714,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 715,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 716,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 717,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 718,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 719,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 72,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 72,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 721,Yes,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 722,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 723,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 724,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 725,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 726,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 727,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 729,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 73,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 73,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 730,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 731,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 732,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 736,No,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 737,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 738,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 739,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 74,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 74,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 740,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 741,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 742,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 743,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 744,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 746,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 747,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 748,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 749,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 75,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 75,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 750,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 751,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 752,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 753,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 754,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 755,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 756,No,Daily,"51-100:
Moderate","51-100:
Moderate"
Participant 757,Yes,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 758,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 759,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 76,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 76,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 761,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 762,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 763,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 764,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 765,Yes,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 766,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 767,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
